Hugh Cabot,
Ciruelo Cabral,
Pedro Cabrita Reis,
Giovanni Caccini,
Giuseppe Cades,
Paul Cadmus,
Mike Cadwell,
Harrison Cady,
Melchiore Caffa,
Ippolito Caffi,
Jean-Jacques Caffieri,
John Cage,
Guido Cagnacci,
William Vincent Cahill,
Claude Cahun,
Cai Dizhi,
Cai Liang,
Gustave Caillebotte,
Francesco del Cairo,
Eugenio Cajes,
Alexandre Calame,
Giacinto Calandrucci,
Antoine Calbet,
Lawrence Calcagno,
Johan Stephen von Calcar,
Randolph Caldecott,
Alexander Calder,
Alexander Stirling Calder,
Philip Hermogenes Calderon,
William Frank Calderon,
Clyde Caldwell,
H. Call,
